second,Latitude,Longitude
168427058,35.5875205,51.2055057
168587008,35.5875217,51.2054715
168809817,35.5875225,51.2054364
169010064,35.5875233,51.2054011
169209787,35.5875242,51.205365
169426817,35.5875252,51.2053283
169609986,35.5875258,51.2052909
169809705,35.587526,51.205253
170009976,35.5875258,51.2052145
170210530,35.5875255,51.2051752
170426999,35.587525,51.2051352
170607024,35.5875244,51.2050947
170806977,35.5875235,51.2050538
171006817,35.587522,51.2050122
171206800,35.58752,51.2049699
171387177,35.5875188,51.2049268
171629758,35.5875179,51.2048832
171806769,35.5875169,51.2048392
172006810,35.5875171,51.2047951
172206749,35.5875176,51.2047506
172430146,35.587518,51.2047057
172607001,35.5875192,51.2046607
172806973,35.587521,51.2046158
173007004,35.5875233,51.2045711
173206775,35.5875263,51.2045263
173407355,35.5875298,51.2044812
173606794,35.5875338,51.204436
173806816,35.5875385,51.2043906
174006816,35.5875439,51.204345
174206804,35.5875497,51.204299
174429964,35.5875559,51.2042527
174606919,35.587563,51.2042067
175007075,35.5875829,51.2041158
175207438,35.5875953,51.2040715
175407365,35.587609,51.2040285
175630072,35.5876241,51.2039868
175830275,35.5876403,51.2039458
176007007,35.5876588,51.2039063
176206781,35.5876784,51.2038682
176407006,35.5876987,51.2038309
176629729,35.58772,51.2037942
176806810,35.5877422,51.2037585
177006990,35.5877648,51.2037236
177207028,35.5877875,51.2036891
177407062,35.5878109,51.2036546
177606740,35.5878347,51.2036205
177806810,35.5878587,51.2035873
178007060,35.5878839,51.2035551
178206715,35.58791,51.2035237
178430285,35.5879365,51.2034936
178629958,35.587964,51.2034655
178806808,35.5879931,51.2034375
179007001,35.588023,51.2034102
179230414,35.5880542,51.2033848
179407277,35.5880862,51.2033614
179606752,35.5881195,51.2033405
179829979,35.5881537,51.2033219
180030180,35.5881886,51.2033049
180229869,35.5882241,51.2032892
180430039,35.5882597,51.2032746
180606745,35.5882958,51.2032614
180829940,35.5883323,51.2032495
181006965,35.5883692,51.203239
181229702,35.5884064,51.203229
181430161,35.5884439,51.2032193
181606863,35.5884814,51.2032101
181829654,35.5885192,51.2032016
182030632,35.5885571,51.203194
182206659,35.5885953,51.2031875
182406991,35.588634,51.2031825
182606778,35.5886731,51.2031787
182829959,35.5887125,51.2031762
183006967,35.5887518,51.2031751
183230054,35.5887916,51.2031755
183406995,35.5888317,51.2031777
183606810,35.5888716,51.2031815
183806809,35.5889112,51.2031864
184030514,35.5889508,51.2031929
184248617,35.5889903,51.2032014
184430705,35.5890294,51.2032121
184629965,35.5890685,51.2032252
184830007,35.5891073,51.2032402
185030451,35.5891461,51.2032563
185230191,35.589185,51.2032731
185448803,35.5892237,51.2032907
185629747,35.5892619,51.2033092
185830013,35.5892995,51.2033286
186030497,35.589337,51.2033488
186248587,35.5893744,51.2033697
186430213,35.5894118,51.2033914
186629778,35.589449,51.2034142
186829951,35.5894857,51.2034377
187030507,35.5895224,51.2034617
187248573,35.5895593,51.2034863
187449154,35.5895959,51.2035117
187629783,35.5896323,51.2035385
187829925,35.5896689,51.2035666
188048546,35.5897043,51.2035968
188248926,35.5897395,51.2036291
188472144,35.5897729,51.2036642
188648648,35.5898053,51.2037012
188829777,35.5898367,51.20374
189048607,35.589867,51.2037806
189230274,35.5898958,51.2038228
189430293,35.5899232,51.2038662
189630013,35.5899495,51.2039107
189829815,35.5899744,51.2039562
190030204,35.5899988,51.2040022
190248759,35.5900223,51.2040486
190472170,35.5900457,51.2040958
190629862,35.5900689,51.2041432
190829768,35.5900919,51.2041907
191048610,35.590115,51.2042382
191248737,35.5901379,51.2042859
191430202,35.5901602,51.2043341
191630008,35.5901818,51.2043829
191829984,35.5902025,51.2044323
192030215,35.5902225,51.2044819
192230159,35.590242,51.2045318
192448790,35.5902608,51.2045818
192630018,35.5902787,51.2046323
192829965,35.5902957,51.2046831
193030294,35.5903123,51.2047338
193230061,35.5903284,51.2047845
193406953,35.5903441,51.2048358
193648635,35.5903586,51.2048869
193848647,35.5903723,51.2049383
194030433,35.5903852,51.2049896
194230076,35.5903977,51.2050407
194448825,35.5904097,51.2050911
194648065,35.5904218,51.2051424
194806993,35.5904338,51.2051937
195048595,35.5904458,51.2052452
195248680,35.5904576,51.2052967
195430065,35.5904691,51.2053483
195629996,35.5904803,51.2054
195830036,35.5904912,51.2054514
196030489,35.5905023,51.2055031
196206701,35.5905135,51.2055547
196472537,35.5905249,51.2056063
196630666,35.5905367,51.2056581
196848516,35.5905488,51.2057097
197048408,35.5905615,51.2057614
197230288,35.5905752,51.2058133
197430418,35.5905898,51.2058657
197629801,35.5906047,51.2059173
197830021,35.5906201,51.2059686
198030543,35.5906361,51.2060204
198230198,35.5906523,51.2060719
198430422,35.5906687,51.2061235
198648664,35.5906848,51.206175
198829736,35.5907013,51.2062266
199030486,35.5907188,51.2062778
199230407,35.5907372,51.2063289
199430432,35.5907555,51.2063792
199629804,35.5907727,51.2064292
200030454,35.5908,51.2065325
200230275,35.5908118,51.2065859
200430194,35.5908228,51.2066403
200629885,35.5908328,51.2066966
200829985,35.5908414,51.2067545
201029786,35.5908485,51.2068132
201230193,35.5908527,51.2068726
201430278,35.5908528,51.206932
201606764,35.5908506,51.2069913
201807028,35.5908475,51.2070513
202030424,35.5908435,51.2071116
202230445,35.5908394,51.2071727
202430445,35.5908356,51.2072339
202630046,35.5908323,51.2072956
202829999,35.5908291,51.207358
203006862,35.5908252,51.207421
203229996,35.5908197,51.2074844
203430015,35.5908125,51.207549
203629976,35.5908035,51.2076136
